dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.368269,10.212028,0.000643,0.064256,3.212786,160.639300,0.001958
0.020000,5.368507,10.212028,0.000880,0.011883,-2.618639,-291.571242,0.001641
0.020000,5.368982,10.212029,0.001356,0.023771,0.594423,160.653087,0.001007
0.020000,5.369696,10.212029,0.002069,0.035671,0.594972,0.027457,0.000056
0.020000,5.380479,10.212023,0.012852,0.539151,25.174003,1228.951525,6.281971
0.020000,5.394522,10.211995,0.026895,0.702154,8.150136,-851.193341,6.280382
0.020000,5.411376,10.211931,0.043749,0.842717,7.028186,-56.097474,6.278471
0.020000,5.431044,10.211817,0.063417,0.983392,7.033750,0.278167,6.276236
0.020000,5.453525,10.211632,0.085899,1.124103,7.035537,0.089391,6.273676
0.020000,5.478820,10.211355,0.111196,1.264851,7.037388,0.092511,6.270787
0.020000,5.506937,10.210961,0.139316,1.405990,7.056980,0.979593,6.267566
0.020000,5.537872,10.210423,0.170255,1.546959,7.048438,-0.427061,6.264010
0.020000,5.571627,10.209709,0.204018,1.688136,7.058822,0.519198,6.260116
0.020000,5.608206,10.208788,0.240608,1.829513,7.068886,0.503202,6.255880
0.020000,5.647609,10.207622,0.280029,1.971011,7.074891,0.300249,6.251298
0.020000,5.689835,10.206170,0.322280,2.112549,7.076913,0.101101,6.246365
0.020000,5.734891,10.204392,0.367371,2.254559,7.100455,1.177065,6.241077
0.020000,5.782771,10.202239,0.415299,2.396404,7.092287,-0.408391,6.235430
0.020000,5.833477,10.199663,0.466071,2.538583,7.108943,0.832811,6.229419
0.020000,5.887010,10.196611,0.519691,2.681002,7.120928,0.599244,6.223039
0.020000,5.943367,10.193026,0.576162,2.823569,7.128348,0.370991,6.216284
0.020000,6.002544,10.188849,0.635486,2.966195,7.131332,0.149234,6.209151
0.020000,6.064539,10.184017,0.697669,3.109157,7.148063,0.836554,6.201634
0.020000,6.129344,10.178463,0.762712,3.252144,7.149349,0.064271,6.193729
0.020000,6.196956,10.172115,0.830620,3.395424,7.164031,0.734117,6.185431
0.020000,6.267365,10.164902,0.901398,3.538889,7.173254,0.461161,6.176735
0.020000,6.340560,10.156744,0.975047,3.682433,7.177206,0.197557,6.167639
0.020000,6.416527,10.147561,1.051566,3.825967,7.176693,-0.025655,6.158138
0.020000,6.495256,10.137269,1.130965,3.969939,7.198582,1.094467,6.148230
0.020000,6.576724,10.125779,1.213240,4.113733,7.189713,-0.443433,6.137912
0.020000,6.660912,10.113001,1.298392,4.257631,7.194873,0.258000,6.127184
0.020000,6.747796,10.098840,1.386422,4.401516,7.194286,-0.029360,6.116044
0.020000,6.837351,10.083198,1.477333,4.545543,7.201355,0.353462,6.104493
0.020000,6.929542,10.065977,1.571119,4.689259,7.185791,-0.778192,6.092534
0.020000,7.024337,10.047074,1.667780,4.833085,7.191311,0.275973,6.080168
0.020000,7.121695,10.026384,1.767312,4.976597,7.175583,-0.786412,6.067402
0.020000,7.221573,10.003801,1.869712,5.119968,7.168542,-0.352010,6.054240
0.020000,7.323922,9.979219,1.974971,5.262954,7.149305,-0.961876,6.040692
0.020000,7.428687,9.952529,2.083082,5.405577,7.131157,-0.907393,6.026767
0.020000,7.535810,9.923623,2.194037,5.547739,7.108081,-1.153794,6.012477
0.020000,7.645228,9.892392,2.307825,5.689400,7.083073,-1.250417,5.997837
0.020000,7.756872,9.858731,2.424433,5.830406,7.050281,-1.639607,5.982864
0.020000,7.870668,9.822534,2.543847,5.970681,7.013778,-1.825159,5.967577
0.020000,7.986536,9.783698,2.666051,6.110194,6.975622,-1.907797,5.951996
0.020000,8.104394,9.742123,2.791027,6.248799,6.930265,-2.267849,5.936146
0.020000,8.224153,9.697715,2.918754,6.386374,6.878723,-2.577066,5.920055
0.020000,8.345723,9.650382,3.049213,6.522937,6.828169,-2.527719,5.903749
0.020000,8.469004,9.600038,3.182378,6.658246,6.765474,-3.134745,5.887261
0.020000,8.593902,9.546604,3.318225,6.792371,6.706245,-2.961450,5.870624
0.020000,8.720313,9.490007,3.456728,6.925124,6.637649,-3.429792,5.853873
0.020000,8.848135,9.430182,3.597857,7.056487,6.568120,-3.476469,5.837046
0.020000,8.977266,9.367072,3.741585,7.186406,6.495969,-3.607555,5.820182
0.020000,9.107602,9.300626,3.887882,7.314812,6.420291,-3.783876,5.803320
0.020000,9.239042,9.230804,4.036715,7.441671,6.342951,-3.867003,5.786503
0.020000,9.371484,9.157574,4.188054,7.566949,6.263882,-3.953431,5.769772
0.020000,9.504831,9.080914,4.341867,7.690639,6.184511,-3.968572,5.753169
