dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.369738,9.462029,0.000643,0.064256,3.212786,160.639300,0.001958
0.020000,5.369738,9.462029,0.003213,0.192767,6.425572,160.639300,0.001641
0.020000,5.369738,9.462029,0.008353,0.321279,6.425572,0.000000,0.001007
0.020000,5.369738,9.462029,0.016064,0.449790,6.425572,-0.000000,0.000056
0.020000,5.379568,9.462023,0.026345,0.578301,6.425572,0.000000,6.281971
0.020000,5.392419,9.461998,0.039196,0.706813,6.425572,-0.000000,6.280382
0.020000,5.407840,9.461940,0.054617,0.835324,6.425572,0.000000,6.278471
0.020000,5.425832,9.461835,0.072609,0.963836,6.425572,0.000000,6.276236
0.020000,5.446393,9.461666,0.093171,1.092347,6.425572,-0.000000,6.273676
0.020000,5.469522,9.461412,0.116303,1.220859,6.425572,-0.000000,6.270787
0.020000,5.495223,9.461052,0.142005,1.349370,6.425572,0.000000,6.267566
0.020000,5.523491,9.460560,0.170278,1.477882,6.425572,-0.000000,6.264010
0.020000,5.554327,9.459909,0.201120,1.606393,6.425572,0.000000,6.260116
0.020000,5.587729,9.459068,0.234533,1.734904,6.425572,0.000000,6.255880
0.020000,5.623697,9.458003,0.270517,1.863416,6.425572,-0.000000,6.251298
0.020000,5.662226,9.456679,0.309070,1.991927,6.425572,0.000000,6.246365
0.020000,5.703319,9.455056,0.350194,2.120439,6.425572,-0.000000,6.241077
0.020000,5.746968,9.453094,0.393888,2.248950,6.425572,0.000000,6.235430
0.020000,5.793172,9.450747,0.440152,2.377462,6.425572,0.000000,6.229419
0.020000,5.841927,9.447967,0.488986,2.505973,6.425572,-0.000000,6.223039
0.020000,5.893229,9.444704,0.540391,2.634485,6.425572,0.000000,6.216284
0.020000,5.947069,9.440904,0.594365,2.762996,6.425572,-0.000000,6.209151
0.020000,6.003443,9.436510,0.650910,2.891507,6.425572,0.000000,6.201634
0.020000,6.062342,9.431461,0.710026,3.020019,6.425572,0.000000,6.193729
0.020000,6.123756,9.425696,0.771711,3.148530,6.425572,0.000000,6.185431
0.020000,6.187678,9.419147,0.835967,3.277042,6.425572,-0.000000,6.176735
0.020000,6.254093,9.411745,0.902793,3.405553,6.425572,0.000000,6.167639
0.020000,6.322986,9.403417,0.972189,3.534065,6.425572,-0.000000,6.158138
0.020000,6.394346,9.394088,1.044155,3.662576,6.425572,0.000000,6.148230
0.020000,6.468152,9.383679,1.118692,3.791087,6.425572,0.000000,6.137912
0.020000,6.544385,9.372108,1.195799,3.919599,6.425572,0.000000,6.127184
0.020000,6.623023,9.359291,1.275476,4.048110,6.425572,-0.000000,6.116044
0.020000,6.704044,9.345140,1.357723,4.176622,6.425572,0.000000,6.104493
0.020000,6.787418,9.329567,1.442541,4.305133,6.425572,-0.000000,6.092534
0.020000,6.873118,9.312477,1.529929,4.433645,6.425572,0.000000,6.080168
0.020000,6.961110,9.293777,1.619887,4.562156,6.425572,-0.000000,6.067402
0.020000,7.051360,9.273372,1.712415,4.690668,6.425572,0.000000,6.054240
0.020000,7.143828,9.251162,1.807513,4.819179,6.425572,0.000000,6.040692
0.020000,7.238473,9.227050,1.905182,4.947690,6.425572,-0.000000,6.026767
0.020000,7.335250,9.200936,2.005421,5.076202,6.425572,0.000000,6.012477
0.020000,7.434110,9.172719,2.108230,5.204713,6.425572,0.000000,5.997837
0.020000,7.535002,9.142300,2.213610,5.333225,6.425572,0.000000,5.982864
0.020000,7.637871,9.109578,2.321559,5.461736,6.425572,-0.000000,5.967577
0.020000,7.742660,9.074455,2.432079,5.590248,6.425572,0.000000,5.951996
0.020000,7.849308,9.036835,2.545169,5.718759,6.425572,0.000000,5.936146
0.020000,7.957752,8.996623,2.660829,5.847271,6.425572,0.000000,5.920055
0.020000,8.067925,8.953727,2.779060,5.975782,6.425572,0.000000,5.903749
0.020000,8.179758,8.908058,2.899861,6.104293,6.425572,-0.000000,5.887261
0.020000,8.293184,8.859531,3.023232,6.232805,6.425572,0.000000,5.870624
0.020000,8.408129,8.808068,3.149173,6.361316,6.425572,0.000000,5.853873
0.020000,8.524521,8.753593,3.277684,6.489828,6.425572,-0.000000,5.837046
0.020000,8.642288,8.696035,3.408766,6.618339,6.425572,0.000000,5.820182
0.020000,8.761358,8.635333,3.542418,6.746851,6.425572,0.000000,5.803320
0.020000,8.881658,8.571428,3.678640,6.875362,6.425572,0.000000,5.786503
0.020000,9.003118,8.504270,3.817432,7.003873,6.425572,-0.000000,5.769772
0.020000,9.125671,8.433815,3.958795,7.132385,6.425572,0.000000,5.753169
0.020000,9.249249,8.360028,4.102728,7.260896,6.425572,0.000000,5.736737
0.020000,9.373792,8.282880,4.249231,7.389408,6.425572,0.000000,5.720519
0.020000,9.499239,8.202349,4.398304,7.517919,6.425572,0.000000,5.704556
0.020000,9.625538,8.118422,4.549948,7.646431,6.425572,-0.000000,5.688889
0.020000,9.752640,8.031091,4.704161,7.774942,6.425572,0.000000,5.673558
0.020000,9.880500,7.940358,4.860945,7.903454,6.425572,0.000000,5.658603
0.020000,10.009082,7.846230,5.020299,8.031965,6.425572,0.000000,5.644061
0.020000,10.138355,7.748723,5.182224,8.160476,6.425572,-0.000000,5.629967
0.020000,10.268295,7.647859,5.346718,8.288988,6.425572,0.000000,5.616357
0.020000,10.398886,7.543665,5.513783,8.417499,6.425572,-0.000000,5.603263
