dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.371206,8.712031,0.000643,0.064256,3.212786,160.639300,0.001958
0.020000,5.370968,8.712030,0.000880,0.011883,-2.618639,-291.571242,0.001641
0.020000,5.370493,8.712030,0.001356,0.023771,0.594423,160.653087,0.001007
0.020000,5.369780,8.712029,0.002069,0.035671,0.594972,0.027457,0.000056
0.020000,5.378658,8.712024,0.010947,0.443918,20.412339,990.868342,6.281971
0.020000,5.390317,8.712001,0.022606,0.582952,6.951700,-673.031964,6.280382
0.020000,5.404305,8.711948,0.036594,0.699396,5.822216,-56.474172,6.278471
0.020000,5.420620,8.711853,0.052910,0.815794,5.819902,-0.115700,6.276236
0.020000,5.439261,8.711699,0.071551,0.932061,5.813355,-0.327372,6.273676
0.020000,5.460223,8.711470,0.092515,1.048177,5.805791,-0.378211,6.270787
0.020000,5.483509,8.711144,0.115803,1.164415,5.811882,0.304585,6.267566
0.020000,5.509111,8.710698,0.141409,1.280288,5.793667,-0.910751,6.264010
0.020000,5.537027,8.710109,0.169331,1.396091,5.790179,-0.174391,6.260116
0.020000,5.567253,8.709347,0.199567,1.511802,5.785522,-0.232882,6.255880
0.020000,5.599786,8.708384,0.232114,1.627335,5.776675,-0.442361,6.251298
0.020000,5.634617,8.707187,0.266966,1.742611,5.763792,-0.644119,6.246365
0.020000,5.671748,8.705721,0.304125,1.857971,5.767987,0.209725,6.241077
0.020000,5.711166,8.703949,0.343583,1.972880,5.745473,-1.125681,6.235430
0.020000,5.752867,8.701830,0.385338,2.087740,5.742971,-0.125088,6.229419
0.020000,5.796844,8.699323,0.429387,2.202466,5.736290,-0.334049,6.223039
0.020000,5.843091,8.696382,0.475727,2.316979,5.725689,-0.530080,6.216284
0.020000,5.891594,8.692958,0.524351,2.431209,5.711466,-0.711146,6.209151
0.020000,5.942348,8.689002,0.575258,2.545383,5.708713,-0.137661,6.201634
0.020000,5.995339,8.684460,0.628444,2.659257,5.693722,-0.749508,6.193729
0.020000,6.050557,8.679277,0.683905,2.773065,5.690354,-0.168436,6.185431
0.020000,6.107991,8.673392,0.741640,2.886733,5.683435,-0.345918,6.176735
0.020000,6.167626,8.666746,0.801644,3.000202,5.673441,-0.499717,6.167639
0.020000,6.229445,8.659274,0.863912,3.113430,5.661376,-0.603247,6.158138
0.020000,6.293436,8.650908,0.928449,3.226818,5.669437,0.403073,6.148230
0.020000,6.359580,8.641579,0.995247,3.339914,5.654765,-0.733608,6.137912
0.020000,6.427858,8.631216,1.064307,3.452998,5.654210,-0.027755,6.127184
0.020000,6.498250,8.619743,1.135628,3.566040,5.652131,-0.103978,6.116044
0.020000,6.570738,8.607083,1.209212,3.679237,5.659853,0.386113,6.104493
0.020000,6.645294,8.593156,1.285058,3.792304,5.653345,-0.325400,6.092534
0.020000,6.721899,8.577880,1.363172,3.905674,5.668490,0.757249,6.080168
0.020000,6.800526,8.561171,1.443554,4.019105,5.671557,0.153350,6.067402
0.020000,6.881147,8.542942,1.526211,4.132851,5.687263,0.785324,6.054240
0.020000,6.963735,8.523106,1.611148,4.246835,5.699244,0.599018,6.040692
0.020000,7.048260,8.501572,1.698372,4.361210,5.718714,0.973532,6.026767
0.020000,7.134689,8.478250,1.787893,4.476035,5.741272,1.127895,6.012477
0.020000,7.222991,8.453046,1.879721,4.591430,5.769746,1.423701,5.997837
0.020000,7.313132,8.425869,1.973870,4.707425,5.799767,1.501045,5.982864
0.020000,7.405075,8.396622,2.070352,4.824123,5.834897,1.756482,5.967577
0.020000,7.498784,8.365213,2.169185,4.941663,5.876990,2.104638,5.951996
0.020000,7.594222,8.331547,2.270387,5.060096,5.921650,2.232993,5.936146
0.020000,7.691350,8.295531,2.373977,5.179489,5.969659,2.400461,5.920055
0.020000,7.790127,8.257071,2.479978,5.300023,6.026680,2.851052,5.903749
0.020000,7.890512,8.216077,2.588411,5.421658,6.081767,2.754384,5.887261
0.020000,7.992466,8.172459,2.699303,5.544602,6.147177,3.270482,5.870624
0.020000,8.095944,8.126129,2.812680,5.668840,6.211906,3.236445,5.853873
0.020000,8.200906,8.077003,2.928569,5.794483,6.282132,3.511297,5.837046
0.020000,8.307310,8.024999,3.047001,5.921596,6.355680,3.677407,5.820182
0.020000,8.415113,7.970040,3.168005,6.050214,6.430891,3.760569,5.803320
0.020000,8.524274,7.912051,3.291613,6.180380,6.508301,3.870501,5.786503
0.020000,8.634753,7.850965,3.417855,6.312116,6.586801,3.924966,5.769772
